ex_type,ex_name,ex_body_area,target_muscle,secondary_muscle_1,secondary_muscle_2,equipment
Muscle,Weighted Muscle Up (On Bar),Back,Lats,Biceps,Triceps,Weighted
Muscle,Weighted One Hand Pull Up,Back,Lats,Biceps,Forearms,Weighted
Muscle,Weighted Overhead Crunch (On Stability Ball),Core,Abs,Obliques,Lower Back,Weighted
Muscle,Weighted Pull-Up,Back,Lats,Biceps,Forearms,Weighted
Muscle,Weighted Round Arm,Shoulders,Delts,Triceps,Upper Back,Weighted
Muscle,Weighted Russian Twist,Core,Abs,Obliques,Lower Back,Weighted
Muscle,Weighted Russian Twist (Legs Up),Core,Abs,Obliques,Hip Flexors,Weighted
Muscle,Weighted Russian Twist V. 2,Core,Abs,Obliques,Lower Back,Weighted
Muscle,Weighted Seated Bicep Curl (On Stability Ball),Upper Arms,Biceps,Forearms,,Medicine Ball
Muscle,Weighted Seated Twist (On Stability Ball),Core,Abs,Obliques,Lower Back,Weighted
Muscle,Weighted Side Bend (On Stability Ball),Core,Abs,Obliques,Lower Back,Weighted
Muscle,Weighted Sissy Squat,Upper Legs,Quads,Glutes,Hamstrings,Weighted
Muscle,Weighted Squat,Upper Legs,Glutes,Quadriceps,Hamstrings,Weighted
Muscle,Weighted Standing Curl,Upper Arms,Biceps,Forearms,,Weighted
Muscle,Weighted Standing Hand Squeeze,Lower Arms,Forearms,Biceps,Triceps,Weighted
Muscle,Weighted Straight Bar Dip,Chest,Pectorals,Triceps,Shoulders,Weighted
Muscle,Weighted Stretch Lunge,Upper Legs,Glutes,Quadriceps,Hamstrings,Weighted
Muscle,Weighted Svend Press,Chest,Pectorals,Shoulders,Triceps,Weighted
Muscle,Weighted Three Bench Dips,Upper Arms,Triceps,Chest,Shoulders,Weighted
Muscle,Weighted Tricep Dips,Upper Arms,Triceps,Chest,Shoulders,Weighted
Muscle,Weighted Triceps Dip On High Parallel Bars,Upper Arms,Triceps,Chest,Shoulders,Weighted
Muscle,Wheel Rollerout,Core,Abs,Lower Back,,Wheel Roller
Cardio,Wheel Run,Cardio,Cardio,Quadriceps,Hamstrings,None
Muscle,Wide Grip Pull-Up,Back,Lats,Biceps,Forearms,None
Muscle,Wide Grip Rear Pull-Up,Back,Lats,Biceps,Forearms,None
Muscle,Wide Hand Push Up,Chest,Pectorals,Triceps,Shoulders,None
Muscle,Wide-Grip Chest Dip On High Parallel Bars,Chest,Pectorals,Triceps,Shoulders,None
Muscle,Wind Sprints,Core,Abs,Quadriceps,Hamstrings,None
Muscle,World Greatest Stretch,Upper Legs,Hamstrings,Glutes,Quadriceps,None
Muscle,Wrist Circles,Lower Arms,Forearms,Hands,Wrists,None
Muscle,Wrist Rollerer,Lower Arms,Forearms,Biceps,Triceps,Weighted
